Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
2	4.7  TISSAMETTEYYA Disadvantages of Sex	methunamanuyuttassa (metteyyāti bhagavā) mussatevāpi sāsanaṃ micchā ca paṭipajjati etaṃ tasmiṃ anāriyaṃ	“When someone indulges in sex,” replied the Buddha, “they forget their instructions and go the wrong way— that is something ignoble in them.	“When one indulges in sexual intercourse, (Metteyya,” the Blessed One said), “even the teaching itself is forgotten, and he practices wrongly: this is ignoble in him.	The one engages in sexual intercourse forgets about the teachings, and he takes a wrong course— that is an ignoble trait in him.	The Buddha: “In one given over to sexual intercourse, the teaching is muddled and he practices wrongly: This is ignoble in him.	Attached to sexual intercourse, forgetful of the Teaching then, wrong things that person practices, and does what is not Noble.		815	Quite difierent stories. 
3	4.7  TISSAMETTEYYA Disadvantages of Sex	eko pubbe caritvāna methunaṃ yo nisevati yānaṃ bhantaṃva taṃ loke hīnamāhu puthujjanaṃ	Someone who formerly lived alone and then resorts to sex is like a chariot careening off-track; in the world they call them a low, ordinary person.	“One who previously lived alone but then resorts to sexual intercourse is like a vehicle that has gone astray: in the world they call him a low worldling.	The one who first fared alone and then engages in sexual intercourse is like a swaying chariot, as in the world they say, a low ordinary man.	Whoever once went alone, but then resorts to sexual intercourse —like a carriage out of control— is called vile in the world, a person run-of-the-mill.	Who formerly fared on alone but now in sex indulges, “Low” they say’s that common worldly one, like vehicle swerving o ffthe track.		816	
4	4.7  TISSAMETTEYYA Disadvantages of Sex	yaso kitti ca yā pubbe hāyatevāpi tassa sā etampi disvā sikkhetha methunaṃ vippahātave	Their former fame and reputation also fall away. Seeing this, they’d train to give up sex.	“Whatever fame and acclaim he previously enjoyed, these fall away from him. Having seen this, one should train to abandon sexual intercourse.	The reputation and praise he had before that falls away from him. Seeing this too one should train oneself to well abandon sexuality.	His earlier honor &dignity: lost. Seeing this, he should train himself to abandon sexual intercourse.	That one who had renown and fame— that, for sure, diminishes, having seen this, train yourself, renouncing sexual intercourse.		817	
5	4.7  TISSAMETTEYYA Disadvantages of Sex	saṅkappehi pareto so kapaṇo viya jhāyati sutvā paresaṃ nigghosaṃ maṅku hoti tathāvidho	Oppressed by thoughts, they brood like a wretch. When they hear what others are saying, such a person is embarrassed.	“Oppressed by his thoughts, he broods like a poor wretch. Having heard the reprimand of others, one such as this is humiliated.	Overcome by thoughts he broods like a destitute. Hearing what others are saying he becomes worried.	Overcome by resolves, he broods like a miserable wretch. Hearing the scorn of others, he’s chagrined.	Overcome by (lustful) thoughts, that one broods as a beggar does, and hearing reproach of others, then such a person is depressed.		818	
6	4.7  TISSAMETTEYYA Disadvantages of Sex	atha satthāni kurute paravādehi codito esa khvassa mahāgedho mosavajjaṃ pagāhati	Then they lash out with verbal daggers when reproached by others. This is their great blind spot;  they sink to lies.	“Then he prepares weapons [of defense] when reproached by the words of others. This is a great thicket for him, that he sinks into false speech.	Then he starts making weapons [in defence] when blamed by others. And that is his big blunder: he plunges into falsehood.	Hearing the scorn of others, he’s chagrined. He makes weapons, attacked by the words of others. This, for him, is a great entanglement. He sinks into lies.	For yourself creating “arms” of others reprimanding words, so with great entanglement sinks down into untruthfulness.		819	
7	4.7  TISSAMETTEYYA Disadvantages of Sex	paṇḍitoti samaññāto ekacariyaṃ adhiṭṭhito athāpi methune yutto mandova parikissati	They once were considered astute,  committed to the solitary life. But then they indulged in sex, dragged along by desire like an idiot	“He was known as a wise man when resolved on living alone, but when he engaged in sexual intercourse, like a dullard he is afflicted.	Whereas he was considered a wise man while he was devoted to solitude, now that he engages in sexual intercourse he gets pushed around like a fool.	They thought him wise when he committed himself to the life alone, but now that he’s given to sexual intercourse they declare him a dullard.	Well-known as “one who’s wise” when vowing to the single life, but later then engaged in sex will be “a fool defiled”.		820	
8	4.7  TISSAMETTEYYA Disadvantages of Sex	etamādīnavaṃ ñatvā muni pubbāpare idha ekacariyaṃ daḷhaṃ kayirā na nisevetha methunaṃ	Knowing this danger in falling from a former state here,  a sage would firmly resolve to wander alone, and would not resort to sex.	“Having known this danger here in the before and after, a muni should resolutely live alone; he should not resort to sexual intercourse.	Knowing the danger involved in this, initially as well as later, the Muni should make firm his solitary life and not indulge in sexual intercourse.	Knowing these drawbacks, the sage here—before &after— stays firm in the life alone; doesn’t resort to sexual intercourse;	The disadvantage having known, the sage, at start and afterwards, should stablish fast the single life, having no recourse to sex		821	
9	4.7  TISSAMETTEYYA Disadvantages of Sex	vivekaññeva sikkhetha etaṃ ariyānamuttamaṃ na tena seṭṭho maññetha sa ve nibbānasantike	They’d train themselves only in seclusion; this, for the noble ones, is highest. One who wouldn’t conceive themselves “best” due to that— they have truly drawn near to extinguishment.	“One should train just in seclusion; this is supreme among the noble ones. One should not conceive oneself best because of this: then one is indeed close to nibbāna.	He should train only for seclusion for that is highest for Noble ones. By that he should not conceive he is best. He truly is close to Nibbāna.	would train himself in seclusion— this, for the noble is highest. He wouldn’t, because of that, suppose himself to be better than others: He’s on the verge of unbinding.	So train yourself in solitude, for that’s the life of Noble Ones, but not conceive oneself as “best”— them near indeed to Nirvāṇa.		822	
10	4.7  TISSAMETTEYYA Disadvantages of Sex	rittassa munino carato kāmesu anapekkhino oghatiṇṇassa pihayanti kāmesu gadhitā pajāti	People tied to sensual pleasures envy them: the isolated, wandering sage who has crossed the flood, unconcerned for sensual pleasures.	“When the muni lives void, indifferent to sensual pleasures, people tied to sensual pleasures envy him as one who has crossed the flood.”	The Muni faring released unconcerned for sensual pleasures, crossed over the flood, those people envy who still are entangled in pleasures.	People enmeshed in sensual pleasures, envy him: a sage remote, leading his life unconcerned for sensual pleasures one who’s crossed over the flood.”	The sage who’s rid of sense-desires, who to them’s indifferent, who’s crossed the flood, is envied then, by those enmeshed with pleasures of sense		823	
1	4.8  PASŪRA Disadvantages of Debate	idheva suddhī iti vādayanti nāññesu dhammesu visuddhimāhu yaṃ nissitā tattha subhaṃ vadānā paccekasaccesu puthū niviṭṭhā	“Here alone is purity,” they say, denying that there is purification in other teachings. Speaking of the beauty in that which they depend on,  each one is dogmatic about their own idiosyncratic interpretation.	“‘Here alone is purity,’ they declare; they say there is no purification in other teachings. Declaring whatever they depend on to be excellent, many are entrenched in separate truths.	“Only here there is purity” they say, in regard to other teachings they do not speak of purity. In what they are depending upon, there they speak of ‘beauty’. In separate truths they are individually entrenched.	“‘Only here is there purity’ —that’s what they say— ‘No other doctrines are pure’ —so they say. Insisting that what they depend on is good, they are deeply entrenched in idiosyncratic truths.	They say: “In our Dharma purity’s found” but deny that it is found in the Dharma of others. On what they depend they say “it’s the best”, and so settle down in their individual truths		824	See also: MN 18; MN 36; MN 58; MN 101; SN 42:8; AN 2:36; AN 3:62; AN 3:68; AN 3:73
2	4.8  PASŪRA Disadvantages of Debate	te vādakāmā parisaṃ vigayha bālaṃ dahantī mithu aññamaññaṃ vadanti te aññasitā kathojjaṃ pasaṃsakāmā kusalā vadānā	Desiring debate, they plunge into an assembly, where each takes the other as a fool.  Relying on others they state their contention, desiring praise while claiming to be experts.	“Desiring debate, having plunged into the assembly, in pairs they accuse one another of being a fool. Those of different convictions assert their argument, desiring praise, claiming to be skilled.	Wanting to debate they plunge into the assembly and hold each other to be fools mutually. Depending upon others they put forth their arguments. Desirous of praise they claim to be experts.	Seeking controversy, they plunge into an assembly, regarding one another as fools. Relying on others’ authority, they speak in debate. Desiring praise, they claim to be skilled.	Those disputants into the assembly rush, and perceive opposedly “the other” as a fool. But in disputes, on others they rely— these so-called experts ever-loving praise.		825	Stories different in SpCm and Chinese and also some verses
3	4.8  PASŪRA Disadvantages of Debate	yutto kathāyaṃ parisāya majjhe pasaṃsamicchaṃ vinighāti hoti apāhatasmiṃ pana maṅku hoti nindāya so kuppati randhamesī	Addicted to debating in the midst of the assembly, their need for praise makes them nervous. But when they’re repudiated they get embarrassed; upset at criticism, they find fault in others.	“Keen on speaking in the midst of the assembly, wishing for praise, he becomes anxious. If his assertion is rejected, he feels humiliated. Upset by blame, he seeks a flaw [in his opponent].	Engaged in dispute in the midst of the assembly wanting praise he becomes anxious. When being refuted he becomes depressed. When blamed he gets irritated and looks for a flaw.	Engaged in disputes in the midst of the assembly, —anxious, desiring praise— the one defeated is chagrined. Shaken with criticism, he seeks for an opening.	Engrossed in conflict midst the assembly, fearing defeat, they wish only for praise, having been refuted, that one’s truly confused, angry at blame seeks weakness in the other		826	Being Overbold, the Disadvantages of Debate
4	4.8  PASŪRA Disadvantages of Debate	yamassa vādaṃ parihīnamāhu apāhataṃ pañhavimaṃsakāse paridevati socati hīnavādo upaccagā manti anutthunāti	If their doctrine is said to be weak, and judges declare it repudiated, the loser weeps and wails, moaning, “They beat me.”	“If they say his assertion is defective, and the judges consider it rejected, the loser laments and sorrows, he moans: ‘He surpassed me.’	Due to the fact that they say his view is inferior and refuted, those who are judging the questions, he laments and grieves, being the loser, and he wails “They went beyond me!”	He whose doctrine is [judged as] demolished, defeated, by those judging the issue: He laments, he grieves—the inferior exponent. ‘He beat me,’ he mourns.	“Through investigation is your argument refuted and destroyed”—so they say. That one grieves and laments—that mere arguer, “Oh! I am overcome” that person wails		827	
5	4.8  PASŪRA Disadvantages of Debate	ete vivādā samaṇesu jātā etesu ugghāti nighāti hoti etampi disvā virame kathojjaṃ na haññadatthatthi pasaṃsalābhā	When these arguments come up among ascetics, they get excited or dejected. Seeing this, refrain from contention, for the only purpose is praise and profit.	“These disputes have arisen among ascetics; in relation to them, one becomes elated and dejected. Having seen this, too, one should desist from arguments, for there is no other benefit than praise and gain.	Such are the disputes arisen among recluses. In these there are elation and depression. Seeing this one should avoid argumentation, for there is no other benefit than the gain of praise herein.	These disputes have arisen among contemplatives. In them are elation, dejection. Seeing this, one should abstain from disputes, for they have no other goal than the gaining of praise.	Arisen among monks—those controversies among them cause both elation and depression. Refrain therefore, from disputation! No meaning’s in it save the prize of praise		828	
6	4.8  PASŪRA Disadvantages of Debate	pasaṃsito vā pana tattha hoti akkhāya vādaṃ parisāya majjhe so hassatī unnamatī ca tena pappuyya tamatthaṃ yathā mano ahu	But if, having declared their doctrine, they are praised there in the midst of the assembly, they laugh and proudly show off because of it, having got what they wanted.	“If, however, he is praised there, having declared his doctrine in the midst of the assembly, he is thrilled by this and swells with pride, having obtained the benefit that accords with his wish.	If he gets praise there, however, having spoken his word in the midst of the assembly, he laughs and gets elated due to it having achieved the purpose his mind was set upon	While he who is praised there for expounding his doctrine in the midst of the assembly, laughs on that account &grows haughty, attaining his heart’s desire.	Praised in the midst of the assembly for the presentation of arguments, then that one laughs, or else is haughty. So they say, “Conceited by winning debate”.		829	
7	4.8  PASŪRA Disadvantages of Debate	yā unnatī sāssa vighātabhūmi mānātimānaṃ vadate paneso etampi disvā na vivādayetha na hi tena suddhiṃ kusalā vadanti	Their pride is their downfall, yet they speak from conceit and arrogance. Seeing this, one ought not get into arguments, for experts say this is no way to purity.	“Though his pride is the ground of distress, he yet speaks from conceit and arrogance. Having seen this, too, one should not dispute; for the skilled say this does not bring purity.	But that elation is a source of trouble for him, for it makes him talk out of conceit and arrogance. Having seen this too one should not dispute, for the skillful ones say there is no purity through that.	That haughtiness will be grounds for his damage, for he’ll speak in pride &conceit. Seeing this, one should abstain from debates. No purity is attained by them, say the skilled.	Though haughtiness will be ground for a downfall, still proudly that one speaks, and with arrogance: this having seen, refrain from disputations— not by that is there purity, so the skilled say.		830	
8	4.8  PASŪRA Disadvantages of Debate	sūro yathā rājakhādāya puṭṭho abhigajjameti paṭisūramicchaṃ yeneva so tena palehi sūra pubbeva natthi yadidaṃ yudhāya	As a warrior, after feasting on royal food, goes roaring, wanting an opponent— go off and find an opponent, Sūra, for here, as before, there is no-one to fight.	“Just as a hero, nourished on the king’s food, comes thundering, desiring an opponent, rush off in his direction, Sūra;197 already in the past, there was no scope for a fight.	Like a hero fed on royal food goes challengingly forth looking for a rival, you run to him, hero! For right in front of you there is naught to battle with	Like a strong man nourished on royal food, you prowl about, roaring, searching out an opponent. Wherever the battle is, go there, strong man. As before, there’s none here.	Just as a strong man, fed upon royal food, might roar forth, wishing for a champion rival, but finds from the first there’s nought to fight		831	
9	4.8  PASŪRA Disadvantages of Debate	ye diṭṭhimuggayha vivādayanti idameva saccanti ca vādayanti te tvaṃ vadassū na hi tedha atthi vādamhi jāte paṭisenikattā	When someone argues about a view they have adopted, saying, “This is the only truth,” say to them, “Here you’ll have no adversary when a dispute has come up.”	“When they grasp a view and argue, and assert, ‘This alone is true,’ [163] tell them: ‘When a debate has arisen there is no opponent for you here.’	To those who pick up a view and quarrel and say “This alone is the truth”, you should speak; for here you won’t find anyone to oppose you when a dispute has arisen	Those who dispute, taking hold of a view, saying, “This, and this only, is true,” those you can talk to. Here there is nothing— no confrontation at the birth of disputes.	Those holding a view and disputing, say thus: “This alone is the truth”, so they aver; then reply to them: “But no one’s here to retaliate through disputation”.		832	
10	4.8  PASŪRA Disadvantages of Debate	visenikatvā pana ye caranti diṭṭhīhi diṭṭhiṃ avirujjhamānā tesu tvaṃ kiṃ labhetho pasūra yesīdha natthī paramuggahītaṃ	There are those who live far from the crowd, not countering views with view. Who is there to argue with you, Pasūra, among those who grasp nothing here as the highest?	“But among those who live remote, who do not oppose a view with other views, what will you obtain, Pasūra, from those who grasp nothing here as supreme?	But those who fare along freed from opposition without countering views with views, among them what will you get, Pasūra, those for whom there is nothing grasped as the highest?	Whom would you gain as opponent, Pasūra, among those who live above confrontation— not pitting view against view— who have nothing here grasped as supreme?	They continue with their practice, offering no opposition against others, offering no view opposed to view. But then, Pasūra, what would you obtain? For them there is nothing to be grasped as the highest		833	
11	4.8  PASŪRA Disadvantages of Debate	atha tvaṃ pavitakkamāgamā manasā diṭṭhigatāni cintayanto dhonena yugaṃ samāgamā na hi tvaṃ sakkhasi sampayātaveti	And so you come along speculating, thinking up theories in your mind. Now that you’ve challenged someone who’s cleansed,  you’ll not be able to respond	“But now you have come brooding, devising speculative views in your mind. You have confronted one who is cleansed: indeed, you won’t be able to succeed.”	You came along in speculation thinking out view-issues in your mind. You came face to face with the cleansed one, you won’t be able to sort yourself out	So here you come, conjecturing, your mind thinking up viewpoints. You’re paired off with a pure one and so cannot proceed.”	As you’ve come here, in your mind thinking and speculating on various views, you have met with a Washed One But will not be able to make progress with him		834	Here, yuga is connected in the Niddesa with yugaggāha (“taking the reins”), which in turn is connected in Vb 17:75.2 with “causing disputes”. It seems to be an idiom for “issuing a challenge”. In any case, it has a stronger sense than just “met, encountered”.
1	4.9  MĀGANDIYA Learns the Muni’s Life	disvāna taṇhaṃ aratiṃ ragañca nāhosi chando api methunasmiṃ kimevidaṃ muttakarīsapuṇṇaṃ pādāpi naṃ samphusituṃ na icche	“Even when I saw the sirens Craving, Delight, and Lust, Māra’s daughters, the archetypal temptresses I had no desire for sex. What is this body full of piss and shit? I wouldn’t even want to touch it with my foot	“Having seen Taṇhā, Aratī, and Ragā, I did not have any desire for sexual intercourse, so why [should I desire] this, full of urine and feces? I would not wish to touch her even with my foot.”	On seeing Taṇhā, Arati, and Ragā there was not any desire for sexual intercourse, then what about this thing full of urine and excrement? Not even with my foot would I want to touch it.	[Māgandiya, a brahman, offers his daughter to the Buddha, who replies:] "On seeing [the daughters of Māra] —Discontent, Craving, &Passion— there wasn’t even the desire for sex. So what would I want with this, filled with urine &excrement? I wouldn’t want to touch it even with my foot.”	As Craving with Longing and Lust had been Seen no spark of desire existed for sex, What then about this filled with piss and with shit— That even with foot I’d not wish to touch!		835	See also: DN 9; MN 63; MN 72; AN 4:194, MN 58, MN 22
2	4.9  MĀGANDIYA Learns the Muni’s Life	etādisaṃ ce ratanaṃ na icchasi nāriṃ narindehi bahūhi patthitaṃ diṭṭhigataṃ sīlavataṃ nu jīvitaṃ bhavūpapattiñca vadesi kīdisaṃ	“If you do not want a gem such as this, a lady desired by many rulers of men, then what kind of theory, precepts and vows, livelihood, and rebirth in a new life do you assert?”	“If you do not wish a gem such as this, a woman desired by many rulers of men, what kind of view, behavior, observances, lifestyle, existence, and rebirth do you assert?”	If you do not want such a treasure, a woman desired by many kings, then what sort of view, virtue, practice, life, and rearising in existence do you proclaim?	Māgandiya: “If you don’t want this gem of a woman, coveted by many kings, then for what sort of viewpoint, habit, practice, life, attainment of [further] becoming do you argue?”	If you don’t wish for a jewel such as this, a woman desired by many lords of men, what view do you hold, living by what rite, by what vows to arise in what kind of life?		836	the story is identical several stanzas which agree with the Pali, only in part. Some lines agree, while others in the same stanza are quite different.
3	4.9  MĀGANDIYA Learns the Muni’s Life	idaṃ vadāmīti na tassa hoti (māgandiyāti bhagavā) dhammesu niccheyya samuggahītaṃ passañca diṭṭhīsu anuggahāya ajjhattasantiṃ pacinaṃ adassaṃ	After judging among the teachings said the Buddha to Māgaṇḍiya, “none have been adopted thinking, ‘I assert this.’ Seeing views without adopting any, searching, I saw inner peace.”	“Having decided among teachings, (Māgandiya,” said the Blessed One), “it does not occur to one, ‘I assert this,’ [about a view] tightly grasped. But seeing into views, not grasping any of them, investigating, I saw the peace within.”	The thought “I proclaim this” does not occur to me regarding what is evaluated and assumed from among ideas. But seeing, and not taking up from among views, while investigating I saw inner peace.	The Buddha: “‘I argue for this’ doesn’t occur to one when considering what’s grasped among doctrines. Looking for what is ungrasped with regard to views,3 and detecting inner peace, I saw.”	As nothing is grasped among various Dharmas, so for me there is not any “This I proclaim”, having seen but not grasped among many views, through discernment among them I saw inner peace.		837	Idaṁ (neuter) refers to the body (rūpa) not to the girl. It’s a meaningful distinction; the Buddha was criticizing the nature of the body, not shaming the person.
4	4.9  MĀGANDIYA Learns the Muni’s Life	vinicchayā yāni pakappitāni (iti māgandiyo ) te ve munī brūsi anuggahāya ajjhattasantīti yametamatthaṃ kathaṃ nu dhīrehi paveditaṃ taṃ	“O sage, you speak of judgments you have formed,” said Māgaṇḍiya, “without having adopted any of those views. As to that matter of ‘inner peace’— how is that described by the wise?”	“Indeed, muni, you speak without grasping those judgments that have been formulated,” (said Māgandiya). “As to that matter called ‘the peace within,’ how is it proclaimed by the wise?”	The evaluations that have been made, of not assuming them, Muni, you are talking. The “inner peace”—what this term means— how is it being made known by the wise?	Māgandiya: “Sage, you speak of not grasping at any theorized judgments. This ‘inner peace’: What does it mean? How is it, by the enlightened, proclaimed?”	Among what’s constructed thoroughly knowing, Ungrasping, O Sage, do you speak upon these, “inward peacefulness”—what meaning has that, how will the wise declare it to be?		838	 It will also be noticed that the Chinese translation has no verses corresponding to Sn. 886-888, but substitutes tor these three, only two verses, which are al-together difierent. 
5	4.9  MĀGANDIYA Learns the Muni’s Life	na diṭṭhiyā na sutiyā na ñāṇena (māgandiyāti bhagavā) sīlabbatenāpi na suddhimāha adiṭṭhiyā assutiyā añāṇā asīlatā abbatā nopi tena ete ca nissajja anuggahāya santo anissāya bhavaṃ na jappe	“Purity is neither spoken of in terms of view,” said the Buddha to Māgaṇḍiya, “oral transmission, notion, and precepts and vows; nor in terms of that without view, oral transmission, notion, and precepts and vows. Having relinquished these, not adopting them, peaceful, independent, one would not pray to be reborn.”	“Not by view, nor by learning, nor by knowledge, (Māgandiya,” said the Blessed One), “nor do I speak of purity through good behavior and observances; but neither without view, without learning, without knowledge, without good behavior, without observances — not in that way. But having relinquished these, not grasping any of them, peaceful, not dependent, one should not hanker for existence.”	Not through view, learning or knowledge, nor through virtue and practice do I declare purity. Even so, not without view, learning and knowledge and also not without virtue, without practice. Relinquishing these without taking up, peaceful without depending, one should not yearn for existence	The Buddha: “He doesn’t speak of purity in connection with     view, learning, knowledge, habit or practice. Nor is it found by a person through lack of view, of learning, of knowledge, of habit or practice.4 Letting these go, without grasping, at peace, independent, one wouldn’t long for becoming.”	Neither from views, not from learning or knowledge, not from rites, or from vows, does purity come I say; nor from no views, no learning, no knowledge acquired, no rites and no vows—none of them at all, Neither by grasping nor giving them up is their peace unsupported, and no hunger “to be”.		839	MN 22 (in particular, the simile of the raft),
6	4.9  MĀGANDIYA Learns the Muni’s Life	no ce kira diṭṭhiyā na sutiyā na ñāṇena (iti māgandiyo) sīlabbatenāpi na suddhimāha adiṭṭhiyā assutiyā añāṇā asīlatā abbatā nopi tena maññāmahaṃ momuhameva dhammaṃ diṭṭhiyā eke paccenti suddhiṃ	“It seems purity is neither spoken of in terms of view,” said Māgaṇḍiya, “oral transmission, notion, and precepts and vows; nor in terms of that without view, oral transmission, notion, and precepts and vows. If so, I think this teaching is sheer confusion; for some believe in purity in terms of view.”	“If indeed it is not by view, by learning, nor by knowledge,” (said Māgandiya), “nor by good behavior and observances, that one speaks of purity; [165] nor without view, without learning, without knowledge, without good behavior and observances — not in that way, I think this is an utterly confused teaching; some fall back on purity by means of view.”	If you do not through view, learning or knowledge declare purity, and also not through virtue and practice— and still not without view, learning and knowledge, as well as not without virtue and practice— then I think such a teaching is all confused; since through view some refer to purity	Māgandiya: “Well, if he doesn’t speak of purity in connection with     view, learning, knowledge, habit or practice. and it isn’t found by a person through lack of view, of learning, of knowledge, of habit or practice,5 it seems to me that this teaching’s simply confused, for some assume a purity in terms of —by means of6— a view.”	If you speak then not of purity by views, not by learning, not by knowledge, not rites and not vows; nor from no views, no learning, no knowledge acquired, by no rites and no vows—none of them at all,266 sutta nipāta then I think that this is very deluded Dharma, for some depend on views as the source of purity.		840	
7	4.9  MĀGANDIYA Learns the Muni’s Life	diṭṭhañca nissāya anupucchamāno (māgandiyāti bhagavā) samuggahītesu pamohamāgā ito ca nāddakkhi aṇumpi saññaṃ tasmā tuvaṃ momuhato dahāsi	“Continuing to question while relying on a view,” said the Buddha to Māgaṇḍiya, “you’ve become confused by all you’ve adopted. From this you’ve not glimpsed the slightest idea, which is why you consider the teaching confused	“Asking repeatedly while dependent on a view, (Māgandiya,” said the Blessed One),   “you have become baffled over things tightly grasped. But from this you have not gained even an inkling; hence you consider it utterly confused.	Putting your questions dependent on view you have come to bewilderment regarding assumptions, but here you saw not even the slightest notion, therefore you are holding it to be all confused	The Buddha: “Asking questions dependent on view, you’re confused by the things you have grasped. And so you don’t glimpse even the slightest notion [of what I am saying]. That’s why you think it’s confused.	Questioning repeatedly dependent on views, grasped at again, you’ve arrived at delusion, not having experienced even a tiny perception of peace, so therefore you see this as very deluded.		841	
8	4.9  MĀGANDIYA Learns the Muni’s Life	samo visesī uda vā nihīno yo maññatī so vivadetha tena tīsu vidhāsu avikampamāno samo visesīti na tassa hoti	If you think that ‘I’m equal, special, or worse’, you’ll get into arguments. Unwavering in the face of the three discriminations, you’ll have no thought ‘I’m equal or special’.	“One who thinks himself equal, superior, or inferior might engage in disputes because of this. Not shaking among these three discriminations, he does not think ‘equal, superior.’	“Equal, superior or inferior”—if in these terms one thinks of oneself one might quarrel on that account. But if one is unshaken in the three modes, “equal-superior” ideas do not occur to him.	Whoever supposes ‘equal,’ ‘superior,’ or ‘inferior,’ by that he’d dispute; whereas to one unaffected by these three, ‘equal,’ ‘superior,’ do not occur.	Who as “equal” considers, “greater” or “less”, conceiving others thus would dispute because of this; but who by these three never is swayed, “equal”, “superior” does not exist.		842	
9	4.9  MĀGANDIYA Learns the Muni’s Life	saccanti so brāhmaṇo kiṃ vadeyya musāti vā so vivadetha kena yasmiṃ samaṃ visamaṃ vāpi natthi sa kena vādaṃ paṭisaṃyujeyya	Why would that brahmin say, ‘It’s true’, or with whom would they argue, ‘It’s false’? There is no equal or unequal in them, so who would they take on in debate?	“Why would that brahmin assert, ‘It’s true,’ or with whom would he dispute, ‘It’s false’? When for him there is no ‘equal’ and ‘unequal,’ with whom would he engage in debate?	Why should the Brāhmaṇa say “this is true”? “This is false”: with whom should he so quarrel? The one who has no ideas of equality or inequality, with whom in the world should he join in quarrel?	Of what would the brahman say ‘true’ or ‘false,’ with whom would he dispute? With whom would he join in dispute, he in whom ‘equal,’ ‘unequal’ are not?	Why would this Brahmin declare “this is the true”, with whom would he argue that “this is false”, in whom there is not “equal”, “unequal”, with whom would he join another in dispute?		843	
10	4.9  MĀGANDIYA Learns the Muni’s Life	okaṃ pahāya aniketasārī gāme akubbaṃ muni santhavāni kāmehi ritto apurakkharāno kathaṃ na viggayha janena kayirā	After leaving shelter to migrate unsettled, a sage doesn’t get close to anyone in town. Rid of sensual pleasures, expecting nothing, they wouldn’t get in arguments with people.	“Having left home to roam without abode, in the village the muni is intimate with none. Void of sensual pleasures, without preferences, he would not engage in contentious talk with people.	Leaving the house, roaming homeless, he should not make close connections with the village. Rid of sensual objects, not preoccupied with them, he should not talk in a quarrelsome way with people	Having abandoned home, living free from society, the sage in villages creates no intimacies. Remote from sensuality, not preferring, he wouldn’t engage with people in quarrelsome debate.	With home let go, faring on in homelessness, in villages the Sage having no intimates, rid of sensual desires, having no preference, would not with any arguments people engage		844	A long explanation of this verse, attributed to Ven. Mahā Kaccāna, is contained in SN 22:3.
11	4.9  MĀGANDIYA Learns the Muni’s Life	yehi vivitto vicareyya loke na tāni uggayha vadeyya nāgo jalambujaṃ kaṇṭakaṃ vārijaṃ yathā jalena paṅkena canūpalittaṃ evaṃ munī santivādo agiddho kāme ca loke ca anūpalitto	A spiritual giant would not take up for argument  the things in the world from which they live secluded. As a prickly lotus born in the water is unsullied by water and mud, so the greedless sage, proponent of peace, is unsmeared by sensuality and the world.	“When he wanders detached from things in the world, the nāga would not grasp and assert them. [166] As a thorny-stalked lotus, born in the water,198 is untainted by water and mud, just so the muni, a proponent of peace, free of greed, is untainted by sensual pleasures and the world.	The things in the world he should fare aloof from, taking hold of them the great man should not speak. Like the water-born thorny-stalked lotus is unsoiled by water and mud, so the Muni who speaks of peace and is not greedy is unsoiled by sensual pleasures.	Those things aloof from which he should go about in the world: The Nāga wouldn’t take them up &argue for them. As the prickly lotus is unsmeared by water &mud, so the sage, an exponent of peace, without greed, is unsmeared by sensuality & the world.	Unattached, one wanders forth in the world, a Nāga, ungrasping, would not dispute those, just as the water lily, thorny-stemmed species, sullied is not by water or mud, even so is the ungreedy Sage proclaiming Peace, unsullied by desires and pleasures in the world		845	
12	4.9  MĀGANDIYA Learns the Muni’s Life	na vedagū diṭṭhiyā na mutiyā sa mānameti na hi tammayo so na kammunā nopi sutena neyyo anūpanīto sa nivesanesu	A knowledge master does not become conceited due to view or thought, for they do not identify with that. They’ve no need for deeds or learning they’re not indoctrinated in dogmas	“Because of a view199 or an opinion a Veda-master does not become conceited, for he does not identify with them. Not led by kamma or by what is heard, he is not drawn to any abodes.	The wisdom-accomplisher does not by view or by thought go to conceit, he is not ‘made-of-that’. He is not traceable through action or learning he is not led to take up an abode anywhere	An attainer-of-knowledge isn’t measured made proud8 by views or what’s thought, for he isn’t fashioned9 of them. He wouldn’t be led by action,10 learning; doesn’t reach a conclusion in any entrenchments.	The Wise One’s not conceited by view or by intelligence, for that one there is no “making-it-mine”; and cannot be led by good works or by learning, cannot be led away by mind-shelters of view		846	
