Atthaka vagga 			Translators approach	Meaning, root meaning of words same order of lines	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	free verse,  fewest distortions in meaning, poetic energy Thai	accurate and readable version rendering the verses in a style that is more uplifting	Poetic aesthetics  capture the subtlety of the Pali language	Diferent approache occasionally more natural interpretations 	Impact on the mind		engaging in philosophical debates (4:3, 4:5, 4:8, 4:11–13), 	
5.6	PARAMAṬṬHAKA	Ultimate octet	yassūbhayante paṇidhīdha natthi bhavābhavāya idha vā huraṁ vā nivesanā tassa na santi keci dhammesu niccheyya samuggahītaṁ	He who towards both ends has no inclination, which would lead to any sort of existence here or yonder, for him there are no resorts assumed after evaluations of ideas	One here who has no wish for either end— for any form of existence in this life or the next— has adopted no dogma at all after judging among the teachings.	One who isn’t inclined toward either side —becoming or not-, here or beyond— who has no entrenchment when considering what’s grasped among doctrines,	For one who has no wish here for either end, for various states of existence here or beyond, there are no places of residence at all grasped after deciding among teachings.	Having no bias for either extreme— for being, or not, here, the next world, for a bhikkhu like this there’s no settling down, ’mong dharmas seized and decided (by them)	For both‘ the ends, the hankering he has given up, [Running] from life to life, he has abandoned, relin-quished and kept off; In both‘ the places, he is not to be found. On all the dhan-mas, he reflects and the rightful he attains and dwells in		801		views 
5.7	PARAMAṬṬHAKA	Ultimate octet	tassīdha diṭṭhe va sute mute vā pakappitā natthi aṇūpi saññā taṁ brāhmaṇaṁ diṭṭhimanādiyānaṁ kenīdha lokasmiṁ vikappayeyya	For him regarding the seen, the heard or the thought not the slightest notion has been made up. That Brāhmaṇa who does not take up a view by what in the world could you make him out?	For them not even the tiniest idea is formulated here regarding what is seen, heard, or thought. That brahmin does not grasp any view— how could anyone in this world judge them?	He hasn’t the least theorized perception with regard to what’s seen, heard, or sensed. By whom, with what, should he be pigeonholed here in the world? this brahman who hasn’t adopted views.	Not even a subtle notion is formulated by him about whatis seen, heard, or sensed here. How could anyone here in the world categorize him, that brahmin who does not cling to any view?	Concerning the seen, the heard and cognized, not the least notion is fashioned by him, that one who’s perfected grasps at no view, by whom in the world could he be described?	To his practices, thoughtfully accepted, or to what he has seen, Or heard, or wrongly conceived, he gives not the slightest thought‘; The wise man contemplating on. Law has all the heresies . . buried. Because of this attainment of his, he gives up all world-ly things he holds ‘vain’,		802		views 
5.8	PARAMAṬṬHAKA	Ultimate octet	na kappayanti na purekkharonti dhammāpi tesaṁ na paṭicchitāse na brāhmaṇo sīlavatena neyyo pāraṅgato na pacceti tādīti	They do not make up, they do not prefer, even ‘ideals’ are not accepted by them. The Brāhmaṇa is not to be traced through virtue and practice, gone to the far shore he does not relate, being such.	They don’t make things up or promote them, and don’t subscribe to any of the doctrines. The brahmin has no need to be led by precept or vow; gone to the far shore, one such does not return.	 They don’t theorize, don’t yearn, don’t adhere even to doctrines. A brahman not led by habits or practices, gone to the beyond —Such— doesn’t fall back.	They do not construct, they have no preferences; even the teachings are not embraced by them.  A brahmin cannot be led by good behavior and observances; the impartial one, gone beyond, does not fall back. 	Neither they’re fashioned nor honoured at all— those doctrines, they’re never accepted by him: Perfected, not guided by rites or by vows, One Thus, not returning, beyond has he gone	Nothing doth he possess; how can the dhwrmas he have? Of the dharmas he practised before, he seeks and discusses the meaning; By merely observing conduct, the Truth itself he is seeking, He has completely gone beyond, and to the crowded world, he would not return		803		views 
6.1	JARA	Old age	appaṁ vata jīvitaṁ idaṁ oraṁ vassasatāpi miyyati yo cepi aticca jīvati atha kho so jarasāpi miyyati	Short indeed is this life, within one hundred years one dies. Even if anyone should live longer, then he is bound to die of decay.	Short, alas, is this life; you die before a hundred years. Even if you live a little longer, you still die of old age.	How short this life! You die this side of a century, but even if you live past, you die of old age.	Short, alas, is this life; one even dies before a hundred years. Even if one lives longer, one still dies because of old age.	Short indeed is this life— within a hundred years one dies, and, if any live longer then they die of decay.	Very short is the life of oneself; When one is little less than a hundred years, one dies; Although one may surpass the limit of a hundred years, That life, due to old age, is no escape from death		804	See also: SN 21:2; AN 4:184; Dhp 21; Sn 5:16	Renunciation 
6.2	JARA	Old age	socanti janā mamāyite na hi santi niccā pariggahā vinābhāvasantamevidaṁ iti disvā nāgāramāvase	People grieve for the things they call ‘mine’ for no possessions are permanent. “It always ends in separation”— seeing this one should not live in a house.	People grieve over belongings, yet there is no such thing as permanent possessions. Separation is a fact of life; when you see this, you wouldn’t stay living at home.	People grieve for what they see as mine, for nothing possessed is constant, nothing is constantly possessed.1 Seeing this separation simply as it is, one shouldn’t follow the household life.	People sorrow over things taken as “mine,” for there are no permanent possessions. Having seen that there is separation, one should not live the home life.	People grieve for what is “mine”: though possessions are not permanent and subject to destruction— see this and homeless dwell.	Brooding over the lovable gives rise to sufiering; Love for it is there, because one takes it to be constant. The likes and the dislikes must all depart; And when one sees thus, no interest in the house will he find.		805	The stories are quite difierent and have nothing in common.	Renunciation 
6.3	JARA	Old age	maraṇenapi taṁ pahīyati yaṁ puriso mamayidanti maññati etampi viditvā paṇḍito na mamattāya nametha māmako	At death that all gets abandoned what a man thinks of as “This is mine.” Having known this too, being wise, my follower would not incline to make things ‘mine’.	Whatever a person thinks of as belonging to them, that too is given up when they die. Knowing this, an astute follower of mine would not be bent on ownership.	At death a person abandons what he supposes as mine. Realizing this, the wise shouldn’t incline to be devoted to mine-ness.	Whatever a person conceives thus, “This is mine,” that too is abandoned at death. Having understood this, a wise one, my follower, should not incline to take things as “mine.”	In death it’s all abandoned, yet still some think “it’s mine”; knowing this, the wise to me devoted should stoop not making it “owned”.	Nothing exists that’s not overflown by the flood of Death, Because of preVi011s greed and craving, c0mes the sense of my-ness. Having an insight into Truth, the wise thus begin to count; ‘This is not my-self nor my-self is this’.		806		Renunciation 
6.4	JARA	Old age	supinena yathāpi saṅgataṁ paṭibuddho puriso na passati evampi piyāyitaṁ janaṁ petaṁ kālaṅkataṁ na passati	Just as what has come together in a dream no longer is seen when a man wakes up, so too when a loved person is dead and gone one does not see him.	Just as, upon awakening, a person does not see what they encountered in a dream; so too you do not see your loved ones when they are dead and gone.	Just as a man doesn’t see on awakening what he met in a dream, even so he doesn’t see, when they are dead —their time done— those he held dear.	Just as, on awakening, a person does not see whatever was encountered in a dream, [159] so too one does not see a beloved person who has died and passed away.	As one who’s waking then sees not the things that happened in sleep; so the beloved are not seen— departed and done their time.	The beloved things in the world are like things seen in a dream, Which, when one gets awake, how can one see? So are the things that the world runs after; Friends and acquaintances, when dead, how can one see?		807		Renunciation 
6.5	JARA	Old age	diṭṭhāpi sutāpi te janā yesaṁ nāmamidaṁ pavuccati nāmamevāvasissati akkheyyaṁ petassa jantuno	Seen and heard are those people of whom such-and-such a name is spoken. Only the name remains to be told of the person who is gone.	You used to see and hear those folk, and call them by their name. Yet the name is all that’s left to tell of a person when they’re gone.	When they are seen &heard, people are called by this name or that, but only the name remains to be pointed to when they are dead.	Although those people were seen and heard, and were known by such and such a name, when a person has passed away, the name alone remains to be uttered.	People now are seen and heard and this are called by name, but alone will the name remain in speaking of those gone.	Gone are all those who are merely heard about, Good as well as bad, whom no longer ‘can one see. Kl] that left this world, what place have they ‘gone to? The conscious beings have departed; names only remain‘.		808		Renunciation 
6.6	JARA	Old age	sokapparidevamaccharaṁ na jahanti giddhā mamāyite tasmā munayo pariggahaṁ hitvā acariṁsu khemadassino	Sorrow, lamentation and avarice they do not give up who are greedy for things called ‘mine’. Therefore the Munis gave up possessions and fared along seeing where safety lies.	Those who are greedy for belongings don’t give up sorrow, lamentation, and stinginess. That’s why the sages, seers of sanctuary, left possessions behind and wandered.	Grief, lamentation, &selfishness are not let go by those greedy for mine, so sages letting go of possessions, go about seeing the Secure.	Those who are greedy for personal assets do not escape sorrow, lamentation, and miserliness. Therefore the munis, seers of security, wandered having abandoned possessions.	In “mine-making” greedy, they do not let go of sorrow, lamenting and avarice, therefore sages leaving possessions freely wander, seers of security.	Grief, bewailing and mutual jealousy, that already ' exist, Are not given up by them that have greed and craving. Therefore, craving for possessions have the B8265 abandoned, From fears and terrors, far away, a safe place of rest have they seen.		809		Renunciation 
6.7	JARA	Old age	patilīnacarassa bhikkhuno bhajamānassa vivittamāsanaṁ sāmaggiyamāhu tassa taṁ yo attānaṁ bhavane na dassaye	Of the monk who fares withdrawn and resorts to a secluded seat they say it agrees with his heart not to show himself in an abode.	For a mendicant who lives withdrawn, frequenting a secluded seat, they say it’s fitting to not show themselves in a home.	A monk, living withdrawn, enjoying a dwelling secluded: They say it’s congenial for him, he who wouldn’t, in any realm, display self.	When a bhikkhu lives withdrawn, resorting to a secluded seat, they say it is appropriate for him not to show himself in a fixed dwelling.	For a bhikkhu practicing in solitude, keeping company with secluded mind, of such a one are all agreed: “In being he’ll not be seen again”.	On the Truth, the Bhikgsu contemplates, without ' being forgetful‘; He wishes to be away from the body that is sure to be dissolved; He wishes to cultivate quiescence and mental contemplation ; To Truth being inclined, there is no place llherel where he can stay.		810		Renunciation 
6.8	JARA	Old age	sabbattha munī anissito na piyaṁ kubbati nopi appiyaṁ tasmiṁ paridevamaccharaṁ paṇṇe vāri yathā na limpati	Everywhere the Muni is independent and does not regard things as liked or disliked. On him lamentation and avarice do not stick as water does not on a lotus leaf.	The sage is independent everywhere, they don’t form likes or dislikes. Lamentation and stinginess slip off them like water from a leaf.	Everywhere the sage independent makes nothing dear or undear. In him lamentation &selfishness, like water on a white lotus, do not adhere.	The muni is not dependent on anything; he takes nothing as pleasing, nothing as displeasing. Lamentation and miserliness do not stick to him as water does not stick to a leaf.	In all matters the sage is unsupported, nothing that makes dear, nor undear, sorrow and avarice do not stain that one, As water does not stay upon a leaf.	‘Having no place to stay’ indicates the conduct of the Sage, \Vhere, likes and dislikes, as well as the practices of jealousy, Grief and bewailing, along with the same practices of jealousy, Never do soil him, [jand so is he] like a lotus [to which water doth not cling].		811		Renunciation 
6.9	JARA	Old age	udabindu yathāpi pokkhare padume vāri yathā na limpati evaṁ muni nopalippati yadidaṁ diṭṭhasutaṁ mutesu vā	As a water drop on a lotus leaf does not stick or as water on a lotus flower, so the Muni does not get stuck in whatever is seen, heard, or thought.	Like a droplet slips from a lotus-leaf, like water from a lotus flower; the sage doesn’t cling to that which is seen or heard or thought.	As a water bead on a lotus leaf, as water on a red lily, doesn’t adhere, so the sage doesn’t adhere to the seen, the heard, or the sensed;	Just as a water drop does not stick to a lotus leaf, or water to the lotus flower, so the muni does not cling to anything among the seen, heard, or sensed.	As a water-drop on lotus plant, as water does not stain a lotus flower, even so the sage is never stained by seen, heard, or whatever’s cognized.	Unsmeared by water, though in it, it doth grow; The Sage, in this world, also acts thus; What is heard or seen is like what has never come into being.		812	v 812 and 813 are inverted in Chinese 	Renunciation 
6.10.	JARA	Old age	dhono na hi tena maññati yadidaṁ diṭṭhasutaṁ mutesu vā nāññena visuddhimicchati na hi so rajjati no virajjatīti	The cleansed one does not conceive of a ‘that-by-which’ in regard to anything seen, heard, or thought. He does not aspire to purity through what is other. Neither does he get attached nor does he [strive] to get detached.	For the one who is cleansed does not conceive in terms of things seen, heard, or thought. They do not wish to be purified by another; they are neither passionate nor growing dispassioned.	for, cleansed, he doesn’t suppose in connection with the seen, the heard, or the sensed. In no other way does he wish for purity, for he neither takes on passion nor puts it away.	One cleansed does not thereby conceive things seen, heard, or sensed. He does not wish for purification by another, for he becomes neither passionate nor dispassionate.	Certainly the wise do not conceive upon the seen, the heard, and cognized, nor wish for purity through another, for they are not attached nor yet displeased.	No‘ attachment or longing he has had; For what he has seen or heard, amiss, no craving has he; As he pursues them not, Deliverance he doth seek; Untainted by sensuous passion, lust how can he nurse?		813		Renunciation 
7.1	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	methunamanuyuttassa (iccāyasmā tisso metteyyo) vighātaṃ brūhi mārisa sutvāna tava sāsanaṃ viveke sikkhissāmase	If one were to engage in sexual intercourse, tell us, Sir, about the misfortune one gets into. Having heard your teaching we will train in solitude.	“When someone indulges in sex,” said Venerable Tissametteyya, “tell us, sir: what trouble befalls them? After hearing your instruction, we shall train in seclusion.”	Tissa-metteyya: “Tell the damage, dear sir, for one given over to sexual intercourse. Having heard your teaching, we’ll train in seclusion.”	“For one who indulges in sexual intercourse,” (said the Venerable Tissa Metteyya), “tell me, dear sir, of the distress. Having heard your teaching, we will train in seclusion.”	Attached to sexual intercourse: Sir, tell its disadvantages, having heard your Teaching then, secluded we will train ourselves.	Sexual attachment to the physical charms of a woman Is considered as the root of ignorance, in the Great Path I wish to accept the teaching of the Honoured One; Having attained that instruction, the evil [I will keep off		814	MN 22; SN 1:20; AN 4:159; AN 5:75–76; AN 7:48; Ud 3:2	Renunciation 
7.2	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	methunamanuyuttassa (metteyyāti bhagavā) mussatevāpi sāsanaṃ micchā ca paṭipajjati etaṃ tasmiṃ anāriyaṃ	The one engages in sexual intercourse forgets about the teachings, and he takes a wrong course— that is an ignoble trait in him.	“When someone indulges in sex,” replied the Buddha, “they forget their instructions and go the wrong way— that is something ignoble in them.	The Buddha: “In one given over to sexual intercourse, the teaching is muddled and he practices wrongly: This is ignoble in him.	“When one indulges in sexual intercourse, (Metteyya,” the Blessed One said), “even the teaching itself is forgotten, and he practices wrongly: this is ignoble in him.	Attached to sexual intercourse, forgetful of the Teaching then, wrong things that person practices, and does what is not Noble.	Mental attachment to the physical senses of a woman Leads to forgetfulness of the commandments of the Sage; Forgetting the right, one is led to lethargy [in conduct], Which means the violation of orderliness [in conduct].		815	Quite difierent stories. 	Renunciation 
7.3	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	eko pubbe caritvāna methunaṃ yo nisevati yānaṃ bhantaṃva taṃ loke hīnamāhu puthujjanaṃ	The one who first fared alone and then engages in sexual intercourse is like a swaying chariot, as in the world they say, a low ordinary man.	Someone who formerly lived alone and then resorts to sex is like a chariot careening off-track; in the world they call them a low, ordinary person.	Whoever once went alone, but then resorts to sexual intercourse —like a carriage out of control— is called vile in the world, a person run-of-the-mill.	“One who previously lived alone but then resorts to sexual intercourse is like a vehicle that has gone astray: in the world they call him a low worldling.	Who formerly fared on alone but now in sex indulges, “Low” they say’s that common worldly one, like vehicle swerving o ffthe track.	Alone, he first carries his search of Truth, But later, he gets mixed up with the pleasures of sex. The cart rolls away, having missed the right course‘ To which it does not keep, but strays far away		816		Renunciation 
7.4	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	yaso kitti ca yā pubbe hāyatevāpi tassa sā etampi disvā sikkhetha methunaṃ vippahātave	The reputation and praise he had before that falls away from him. Seeing this too one should train oneself to well abandon sexuality.	Their former fame and reputation also fall away. Seeing this, they’d train to give up sex.	His earlier honor &dignity: lost. Seeing this, he should train himself to abandon sexual intercourse.	“Whatever fame and acclaim he previously enjoyed, these fall away from him. Having seen this, one should train to abandon sexual intercourse.	That one who had renown and fame— that, for sure, diminishes, having seen this, train yourself, renouncing sexual intercourse.	Formerly], when seen, a high seat was ofiered and honour shown to him; Character he did lose, and a good name he forgot all Having learnt this truth, one must contemplate to learn The sexual practices to leave, relinquish and keep off		817		Renunciation 
7.5	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	saṅkappehi pareto so kapaṇo viya jhāyati sutvā paresaṃ nigghosaṃ maṅku hoti tathāvidho	Overcome by thoughts he broods like a destitute. Hearing what others are saying he becomes worried.	Oppressed by thoughts, they brood like a wretch. When they hear what others are saying, such a person is embarrassed.	Overcome by resolves, he broods like a miserable wretch. Hearing the scorn of others, he’s chagrined.	“Oppressed by his thoughts, he broods like a poor wretch. Having heard the reprimand of others, one such as this is humiliated.	Overcome by (lustful) thoughts, that one broods as a beggar does, and hearing reproach of others, then such a person is depressed.	Contemplating on sex-pleasures, either good or bad, And violating good conduct, what is it that he gains? Having heard reports of good conduct of the wise, He becomes sad and morose, thinking of nothing but self.		818		Renunciation 
7.6	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	atha satthāni kurute paravādehi codito esa khvassa mahāgedho mosavajjaṃ pagāhati	Then he starts making weapons [in defence] when blamed by others. And that is his big blunder: he plunges into falsehood.	Then they lash out with verbal daggers when reproached by others. This is their great blind spot;  they sink to lies.	Hearing the scorn of others, he’s chagrined. He makes weapons, attacked by the words of others. This, for him, is a great entanglement. He sinks into lies.	“Then he prepares weapons [of defense] when reproached by the words of others. This is a great thicket for him, that he sinks into false speech.	For yourself creating “arms” of others reprimanding words, so with great entanglement sinks down into untruthfulness.	Man with leaky conduct  bristles with dangers, When he is addressed with short words of reprimand. Being already attached, he gets into meshes of a net, And then his deceipt displays words that are far from truth		819		Renunciation 
7.7	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	paṇḍitoti samaññāto ekacariyaṃ adhiṭṭhito athāpi methune yutto mandova parikissati	Whereas he was considered a wise man while he was devoted to solitude, now that he engages in sexual intercourse he gets pushed around like a fool.	They once were considered astute,  committed to the solitary life. But then they indulged in sex, dragged along by desire like an idiot	They thought him wise when he committed himself to the life alone, but now that he’s given to sexual intercourse they declare him a dullard.	“He was known as a wise man when resolved on living alone, but when he engaged in sexual intercourse, like a dullard he is afflicted.	Well-known as “one who’s wise” when vowing to the single life, but later then engaged in sex will be “a fool defiled”.	Always? behaving in conformity with the wise, Rather never getting mixed up, but all alone; When he gets upset by the pleasures of sex, All strength he loses and to exertion he becomes a stranger.		820		Renunciation 
7.8	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	etamādīnavaṃ ñatvā muni pubbāpare idha ekacariyaṃ daḷhaṃ kayirā na nisevetha methunaṃ	Knowing the danger involved in this, initially as well as later, the Muni should make firm his solitary life and not indulge in sexual intercourse.	Knowing this danger in falling from a former state here,  a sage would firmly resolve to wander alone, and would not resort to sex.	Knowing these drawbacks, the sage here—before &after— stays firm in the life alone; doesn’t resort to sexual intercourse;	“Having known this danger here in the before and after, a muni should resolutely live alone; he should not resort to sexual intercourse.	The disadvantage having known, the sage, at start and afterwards, should stablish fast the single life, having no recourse to sex	Seeing the violation [of conduct] as the cause of evil, Take no recourse to physical actions that contempt evoke; But carry on with your life that may even be single, Take wisdom and practise no pranks of folly		821		Renunciation 
7.9	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	vivekaññeva sikkhetha etaṃ ariyānamuttamaṃ na tena seṭṭho maññetha sa ve nibbānasantike	He should train only for seclusion for that is highest for Noble ones. By that he should not conceive he is best. He truly is close to Nibbāna.	They’d train themselves only in seclusion; this, for the noble ones, is highest. One who wouldn’t conceive themselves “best” due to that— they have truly drawn near to extinguishment.	would train himself in seclusion— this, for the noble is highest. He wouldn’t, because of that, suppose himself to be better than others: He’s on the verge of unbinding.	“One should train just in seclusion; this is supreme among the noble ones. One should not conceive oneself best because of this: then one is indeed close to nibbāna.	So train yourself in solitude, for that’s the life of Noble Ones, but not conceive oneself as “best”— them near indeed to Nirvāṇa.	Far [from the world], find a lonely place of shelter, Which is considered as the best by those who see the Truth. When you have it, to self-pride give no shelter, Though not in actual contact with Nirvana you are quite near		822		Renunciation 
7.10.	TISSAMETTEYYA	To Tissametteyya on the Disadvantages of Sex	rittassa munino carato kāmesu anapekkhino oghatiṇṇassa pihayanti kāmesu gadhitā pajāti	The Muni faring released unconcerned for sensual pleasures, crossed over the flood, those people envy who still are entangled in pleasures.	People tied to sensual pleasures envy them: the isolated, wandering sage who has crossed the flood, unconcerned for sensual pleasures.	People enmeshed in sensual pleasures, envy him: a sage remote, leading his life unconcerned for sensual pleasures one who’s crossed over the flood.”	“When the muni lives void, indifferent to sensual pleasures, people tied to sensual pleasures envy him as one who has crossed the flood.”	The sage who’s rid of sense-desires, who to them’s indifferent, who’s crossed the flood, is envied then, by those enmeshed with pleasures of sense	Think and plan of going [from the world] far, far away, With no desire for sensuous pleasures, which get rid of, all; ‘From suiiering get released’—thus the good men say; Because all the worldlings are, in pleasures of sense, merged		823		Renunciation 
8.1	PASŪRA	To Pasura	idheva suddhī iti vādayanti nāññesu dhammesu visuddhimāhu yaṃ nissitā tattha subhaṃ vadānā paccekasaccesu puthū niviṭṭhā	“Only here there is purity” they say, in regard to other teachings they do not speak of purity. In what they are depending upon, there they speak of ‘beauty’. In separate truths they are individually entrenched.	“Here alone is purity,” they say, denying that there is purification in other teachings. Speaking of the beauty in that which they depend on,  each one is dogmatic about their own idiosyncratic interpretation.	“‘Only here is there purity’ —that’s what they say— ‘No other doctrines are pure’ —so they say. Insisting that what they depend on is good, they are deeply entrenched in idiosyncratic truths.	“‘Here alone is purity,’ they declare; they say there is no purification in other teachings. Declaring whatever they depend on to be excellent, many are entrenched in separate truths.	They say: “In our Dharma purity’s found” but deny that it is found in the Dharma of others. On what they depend they say “it’s the best”, and so settle down in their individual truths	In what they say, [ they contend ], is the Pure Law, which none excells; The rest have no Law and, in knowledge, cannot equal them  To what they know they cling, and find bliss in the same. Thinking it to be Truth, they in their wrong doctrine, ground themselves firm		824	See also: MN 18; MN 36; MN 58; MN 101; SN 42:8; AN 2:36; AN 3:62; AN 3:68; AN 3:73	
8.2	PASŪRA	To Pasura	te vādakāmā parisaṃ vigayha bālaṃ dahantī mithu aññamaññaṃ vadanti te aññasitā kathojjaṃ pasaṃsakāmā kusalā vadānā	Wanting to debate they plunge into the assembly and hold each other to be fools mutually. Depending upon others they put forth their arguments. Desirous of praise they claim to be experts.	Desiring debate, they plunge into an assembly, where each takes the other as a fool.  Relying on others they state their contention, desiring praise while claiming to be experts.	Seeking controversy, they plunge into an assembly, regarding one another as fools. Relying on others’ authority, they speak in debate. Desiring praise, they claim to be skilled.	“Desiring debate, having plunged into the assembly, in pairs they accuse one another of being a fool. Those of different convictions assert their argument, desiring praise, claiming to be skilled.	Those disputants into the assembly rush, and perceive opposedly “the other” as a fool. But in disputes, on others they rely— these so-called experts ever-loving praise.	A victory they always wish to score_ in their assemblies, And words such as ‘fools’ they pelt at each other, all around; Original words they forget and put an inte retation, at will, Mutually asking diflicult questions, which the wise had already set		825	Stories different in SpCm and Chinese and also some verses	
8.3	PASŪRA	To Pasura	yutto kathāyaṃ parisāya majjhe pasaṃsamicchaṃ vinighāti hoti apāhatasmiṃ pana maṅku hoti nindāya so kuppati randhamesī	Engaged in dispute in the midst of the assembly wanting praise he becomes anxious. When being refuted he becomes depressed. When blamed he gets irritated and looks for a flaw.	Addicted to debating in the midst of the assembly, their need for praise makes them nervous. But when they’re repudiated they get embarrassed; upset at criticism, they find fault in others.	Engaged in disputes in the midst of the assembly, —anxious, desiring praise— the one defeated is chagrined. Shaken with criticism, he seeks for an opening.	“Keen on speaking in the midst of the assembly, wishing for praise, he becomes anxious. If his assertion is rejected, he feels humiliated. Upset by blame, he seeks a flaw [in his opponent].	Engrossed in conflict midst the assembly, fearing defeat, they wish only for praise, having been refuted, that one’s truly confused, angry at blame seeks weakness in the other	In assemblies, questions he puts, the interpretations to gather, The explanations of those questions he expects, when his words he has said. In the assembly, when defeated, irritated he doth get, For, what was hard for him to understand, all the crowd knew so well		826	Being Overbold, the Disadvantages of Debate	
8.4	PASŪRA	To Pasura	yamassa vādaṃ parihīnamāhu apāhataṃ pañhavimaṃsakāse paridevati socati hīnavādo upaccagā manti anutthunāti	Due to the fact that they say his view is inferior and refuted, those who are judging the questions, he laments and grieves, being the loser, and he wails “They went beyond me!”	If their doctrine is said to be weak, and judges declare it repudiated, the loser weeps and wails, moaning, “They beat me.”	He whose doctrine is [judged as] demolished, defeated, by those judging the issue: He laments, he grieves—the inferior exponent. ‘He beat me,’ he mourns.	“If they say his assertion is defective, and the judges consider it rejected, the loser laments and sorrows, he moans: ‘He surpassed me.’	“Through investigation is your argument refuted and destroyed”—so they say. That one grieves and laments—that mere arguer, “Oh! I am overcome” that person wails	Distressed and grieved that his words [brought] defeat, He sits uneasy and lies weeping and crying; His wrong doctrines of old make him his words think over; “Words bring no victory”-this thought, in his mind, doth roll		827		
8.5	PASŪRA	To Pasura	ete vivādā samaṇesu jātā etesu ugghāti nighāti hoti etampi disvā virame kathojjaṃ na haññadatthatthi pasaṃsalābhā	Such are the disputes arisen among recluses. In these there are elation and depression. Seeing this one should avoid argumentation, for there is no other benefit than the gain of praise herein.	When these arguments come up among ascetics, they get excited or dejected. Seeing this, refrain from contention, for the only purpose is praise and profit.	These disputes have arisen among contemplatives. In them are elation, dejection. Seeing this, one should abstain from disputes, for they have no other goal than the gaining of praise.	“These disputes have arisen among ascetics; in relation to them, one becomes elated and dejected. Having seen this, too, one should desist from arguments, for there is no other benefit than praise and gain.	Arisen among monks—those controversies among them cause both elation and depression. Refrain therefore, from disputation! No meaning’s in it save the prize of praise	Having seen this, his tongue (lit. mouth) to guard, he is inclined, But, soon, he lets it loose (lit. opens the mouth), . which the questions hard had tied (lit. closed), When heifinds that the questions in his mind do a good reception get, In words which, when uttered, do the [whole] gathering enliven		828		
8.6	PASŪRA	To Pasura	pasaṃsito vā pana tattha hoti akkhāya vādaṃ parisāya majjhe so hassatī unnamatī ca tena pappuyya tamatthaṃ yathā mano ahu	If he gets praise there, however, having spoken his word in the midst of the assembly, he laughs and gets elated due to it having achieved the purpose his mind was set upon	But if, having declared their doctrine, they are praised there in the midst of the assembly, they laugh and proudly show off because of it, having got what they wanted.	While he who is praised there for expounding his doctrine in the midst of the assembly, laughs on that account &grows haughty, attaining his heart’s desire.	“If, however, he is praised there, having declared his doctrine in the midst of the assembly, he is thrilled by this and swells with pride, having obtained the benefit that accords with his wish.	Praised in the midst of the assembly for the presentation of arguments, then that one laughs, or else is haughty. So they say, “Conceited by winning debate”.	Words, pleasing and sweet, make his mind joyful and glad; Attachment to pleasure and joy, he thinks as ‘all-in-all’.		829		
8.7	PASŪRA	To Pasura	yā unnatī sāssa vighātabhūmi mānātimānaṃ vadate paneso etampi disvā na vivādayetha na hi tena suddhiṃ kusalā vadanti	But that elation is a source of trouble for him, for it makes him talk out of conceit and arrogance. Having seen this too one should not dispute, for the skillful ones say there is no purity through that.	Their pride is their downfall, yet they speak from conceit and arrogance. Seeing this, one ought not get into arguments, for experts say this is no way to purity.	That haughtiness will be grounds for his damage, for he’ll speak in pride &conceit. Seeing this, one should abstain from debates. No purity is attained by them, say the skilled.	“Though his pride is the ground of distress, he yet speaks from conceit and arrogance. Having seen this, too, one should not dispute; for the skilled say this does not bring purity.	Though haughtiness will be ground for a downfall, still proudly that one speaks, and with arrogance: this having seen, refrain from disputations— not by that is there purity, so the skilled say.	Exhalting his self’ doth mean leakage and fall, He doth not learn: from what his prosperity will arise. “Then he learns this, he indulgeth not in words, vain, [For], from them, no good release can he in any way obtain		830		
8.8	PASŪRA	To Pasura	sūro yathā rājakhādāya puṭṭho abhigajjameti paṭisūramicchaṃ yeneva so tena palehi sūra pubbeva natthi yadidaṃ yudhāya	Like a hero fed on royal food goes challengingly forth looking for a rival, you run to him, hero! For right in front of you there is naught to battle with	As a warrior, after feasting on royal food, goes roaring, wanting an opponent— go off and find an opponent, Sūra, for here, as before, there is no-one to fight.	Like a strong man nourished on royal food, you prowl about, roaring, searching out an opponent. Wherever the battle is, go there, strong man. As before, there’s none here.	“Just as a hero, nourished on the king’s food, comes thundering, desiring an opponent, rush off in his direction, Sūra;197 already in the past, there was no scope for a fight.	Just as a strong man, fed upon royal food, might roar forth, wishing for a champion rival, but finds from the first there’s nought to fight	Relying much on them means a painful course to adopt, For, he goes seeking those, on whom he his questions would try; With shameless audacity, he doth go and come To meet some one, with whom he may, forthwith, . dispute.		831		
